id_movie,id_production_companies,name_production_companies,revenue
4482,5358,Canal+,0
10634,12,New Line Cinema,28215918
755,59,A Band Apart,25836616
755,7405,Dimension Films,25836616
755,11705,Los Hooligans Productions,25836616
755,53009,Miramax,25836616
11859,1885,Silver Pictures,11534477
11859,6194,Warner Bros.,11534477
28387,5841,Castleberg Productions,718490
28387,5842,Sandollar Productions,718490
48750,1742,Les Films 13,0
48750,5358,Canal+,0
48750,22123,TF1,0
20927,12,New Line Cinema,19030691
20927,4286,Juno Pix,19030691
36929,6194,Warner Bros.,2042530
36929,10210,Morgan Creek Productions,2042530
9102,3388,The Movie Network (TMN),5781885
9102,4899,Allegro Films,5781885
9102,7958,Fuji Eight Company Ltd.,5781885
9102,23096,Fries Film Group,5781885
9102,23097,Super Ecran,5781885
9102,23098,Triumph Films,5781885
124626,4606,Zweites Deutsches Fernsehen (ZDF),0
124626,83201,Ciak Filmproduktion,0
124626,93174,Bluehorse Films,0
27526,14,Miramax Films,0
9623,441,Columbia Pictures Corporation,0
46785,38953,I.R.I.B. Channel 2,0
46785,38954,Ferdos Films,0
400,14,Miramax Films,529766
880,575,Bergen Film,0
880,576,Bard Entertainments,0
880,577,NPS Televisie,0
146599,38196,BET Pictures,0
146599,38197,United Image Entertainme,0
8447,2492,Playhouse International Pictures,0
8447,8888,The Samuel Goldwyn Company,0
10534,915,Hollywood Pictures,10300000
10534,1644,Largo Entertainment,10300000
10534,1645,Scott Free Productions,10300000
17414,306,Twentieth Century Fox Film Corporation,0
17414,3311,Joe Wizan/Todd Black,0
13997,4,Paramount Pictures,32
2086,4,Paramount Pictures,8175346
61548,14,Miramax Films,0
61548,4665,Addis Wechsler Pictures,0
9095,559,TriStar Pictures,12379402
9095,18737,NFH Productions,12379402
12158,4,Paramount Pictures,19800000
9283,14,Miramax Films,0
9283,979,Woods Entertainment,0
9208,306,Twentieth Century Fox Film Corporation,150270147
9208,456,WCG Entertainment Productions,150270147
9208,11362,Mark Gordon Productions,150270147
40154,97,Castle Rock Entertainment,0
40154,75942,Midwinter Films,0
406,802,Egg Pictures,0
406,1382,PolyGram Filmed Entertainment,0
406,5358,Canal+,0
406,5869,Les Productions Lazennec,0
