id_movie,name_collection,revenue
154,Star Trek: The Original Series Collection,96800000
157,Star Trek: The Original Series Collection,87000000
168,Star Trek: The Original Series Collection,133000000
364,Batman Collection,280000000
11967,Young Guns Collection,44726644
9086,Young Guns Collection,0
621,Grease Collection,181813770
9037,Grease Collection,15171476
8845,Under Siege Collection,156563139
578,The Jaws Collection,470654000
579,The Jaws Collection,187884007
17692,The Jaws Collection,87987055
4232,Scream Collection,173046663
34314,Turbulence Collection,11466088
9404,Police Story Collection,21890845
10003,The Saint Collection,118063304
11844,Barrytown Trilogy,0
6499,Power Rangers Collection,17979739
9360,Anaconda Collection,136885767
816,Austin Powers Collection,67683989
49478,Warriors Of Virtue Collection,0
1811,Teenage Apocalypse Trilogy,27354
330,Jurassic Park Collection,229074524
33660,Shiloh Collection,0
1639,Speed Collection,164508066
415,Batman Collection,238207122
17991,Tetsuo Collection,0
607,Men In Black Collection,589390539
9387,Conan The Barbarian Collection,79114085
10603,George Of The Jungle Collection,0
20737,Air Bud Collection,23144499
18519,Free Willy Collection,0
4961,Mimic Collection,25480490
1669,The Jack Ryan Collection,199200000
9437,Alex Cross Collection,60527873
10351,Wishmaster Collection,15719109
3597,I Know What You Did Last Summer Collection,125586134
1281,Mr. Bean Collection,251212670
563,Starship Troopers Collection,121214377
9823,Mortal Kombat Collection,51376861
8078,Alien Collection,162000000
42832,Les Boys,0
9714,Home Alone Collection,79082515
4233,Scream Collection,172363301
714,James Bond Collection,333011068
9922,The Postman Collection,17626234
32302,3 Ninjas Collection,0
9033,The Prophecy Collection,0
11568,The Blues Brothers Collection,14051384
11808,The Fugitive / U.S. Marshals Collection,102367405
617,Wild Things Collection,67200000
17644,Barney Collection,0
27472,The Odd Couple Collection,0
10216,Species Collection,19165560
9771,Major League Collection,3572443
37410,Henry Fool Collection,1334786
10674,Mulan Collection,304320254
846,The X-Files Collection,189198313
3050,Dr. Dolittle Collection,294456605
944,Lethal Weapon Collection,285444603
1051,French Connection Collection,41158757
1366,Rocky Collection,117235147
10014,A Nightmare On Elm Street Collection,29999213
10072,A Nightmare On Elm Street Collection,44793222
10131,A Nightmare On Elm Street Collection,72500000
10160,A Nightmare On Elm Street Collection,22168359
11284,A Nightmare On Elm Street Collection,34872033
4488,Friday The 13Th Collection,59754601
9725,Friday The 13Th Collection,21722776
9728,Friday The 13Th Collection,36690067
9730,Friday The 13Th Collection,32980880
9731,Friday The 13Th Collection,21930418
10225,Friday The 13Th Collection,19472057
10281,Friday The 13Th Collection,19170001
10283,Friday The 13Th Collection,14000000
948,Halloween Collection,70000000
11281,Halloween Collection,25533818
10676,Halloween Collection,14400000
11357,Halloween Collection,17768757
11361,Halloween Collection,11642254
36599,Prom Night Collection,14796236
39929,Prom Night Collection,2683519
41828,Prom Night Collection,0
41769,Prom Night Collection,0
609,Poltergeist Collection,122200000
11133,Poltergeist Collection,40996665
10306,Poltergeist Collection,14144000
9552,The Exorcist Collection,441306145
11586,The Exorcist Collection,30749142
11587,The Exorcist Collection,39024251
941,Lethal Weapon Collection,120207127
942,Lethal Weapon Collection,227853986
943,Lethal Weapon Collection,321731527
927,The Gremlins Collection,153083102
928,The Gremlins Collection,41482207
9342,Zorro Collection,250288523
165,Back To The Future Collection,332000000
196,Back To The Future Collection,244527583
551,The Poseidon Adventure Collection,84563118
17984,Flubber Collection,0
22328,The Apple Dumpling Gang Collection,0
3170,Bambi Collection,267447150
242,The Godfather Collection,136766062
29228,Dexter Riley Collection,0
11164,The Mighty Ducks Collection,45610410
12129,Herbie Collection,0
14140,Herbie Collection,0
11158,"Honey, I Shrunk The Kids Collection",58662452
9354,"Honey, I Shrunk The Kids Collection",222724172
9325,The Jungle Book Collection,205843612
10340,Lady And The Tramp Collection,93600000
10144,The Little Mermaid Collection,222300000
10414,The Mighty Ducks Collection,50752337
10437,The Muppet Collection,27281507
12230,101 Dalmatians (Animated) Collection,215880014
10693,Peter Pan Collection,87404651
11135,The Rescuers Collection,47431461
11319,The Rescuers Collection,71215869
14822,Witch Mountain Collection,16393000
15969,Aladdin Collection,0
15943,The Shaggy Dog Collection,0
19762,Flubber Collection,0
2619,Splash Collection,69821334
97,Tron Collection,33000000
11675,Halloween Collection,55041738
87,Indiana Jones Collection,333000000
123,The Lord Of The Rings Animated Collection,30471420
10823,Children Of The Corn Collection,14000000
11497,All Dogs Go To Heaven Collection,27100027
2907,Addams Family Collection,191502426
11704,The Secret Of Nimh Collection,14665733
4978,Fievel Collection,84542002
10380,Fievel Collection,40766041
11415,House Collection,0
37530,House Collection,7800000
8393,The Gods Must Be Crazy Collection,60000000
11937,The Gods Must Be Crazy Collection,0
21661,Air Bud Collection,10224116
39930,Henry: Portrait Of A Serial Killer Collection,0
10692,Henry: Portrait Of A Serial Killer Collection,0
34584,The Neverending Story Collection,20158808
34636,The Neverending Story Collection,16283667
2182,Killer Tomatoes! Collection,0
36647,Blade Collection,131183530
431,Cube Collection,501818
2109,Rush Hour Collection,244386864
9877,Urban Legend,72527595
1091,The Thing Collection,19629760
4437,The Space Odyssey Series,40400657
9945,Vampires Collection,0
4518,Elizabeth Collection,82150642
3600,I Know What You Did Last Summer Collection,40002112
12223,Stepford Collection,0
14444,Rugrats Collection,100491683
1678,Godzilla (Showa) Collection,0
39256,Godzilla (Heisei) Collection,4100000
1680,Godzilla (Showa) Collection,0
244,King Kong (1933 Series),10000000
10730,King Kong (1976 Series),90614445
31947,King Kong (1976 Series),4711220
9749,Fletch Collection,59612888
14628,Fletch Collection,35150960
9626,Conan The Barbarian Collection,6948633
707,James Bond Collection,152427960
9336,Police Academy Collection,146198896
10157,Police Academy Collection,55600000
12118,Police Academy Collection,43579163
10587,Police Academy Collection,28061343
11825,Police Academy Collection,19510371
11895,Police Academy Collection,11567217
9447,Babe Collection,69131860
200,Star Trek: The Next Generation Collection,118000000
1369,Rambo Collection,300400432
1368,Rambo Collection,125212904
1370,Rambo Collection,189015611
10303,Romancing The Stone Collection,96773200
9326,Romancing The Stone Collection,86572238
10328,Cocoon Collection,85313124
11285,Cocoon Collection,25024919
1367,Rocky Collection,200182160
1371,Rocky Collection,270000000
1374,Rocky Collection,300473716
1375,Rocky Collection,119946358
1885,The Karate Kid Collection,90815558
8856,The Karate Kid Collection,115103979
10495,The Karate Kid Collection,38956288
6917,The Gate Collection,0
40729,The Gate Collection,0
11815,The Fly (1958 Series),3000000
9426,The Fly Collection,60629159
10344,The Fly Collection,38903179
