title,text
Batman Returns,Tim BurtonAction Fantasy
Batman Unlimited: Animal Instincts,Butch LukicAction Animation Family
Batman V Superman: Dawn Of Justice,Zack SnyderAction Adventure Fantasy
Batman Vs Dracula,Michael GoguenFantasy Animation Horror Action Thriller Science Fiction
Batman Vs. Robin,Jay OlivaAction Adventure Animation
Batman: Assault On Arkham,Ethan SpauldingThriller Animation Action Crime
Batman: Assault On Arkham,Jay OlivaThriller Animation Action Crime
Batman: Bad Blood,Jay OlivaAction Animation Science Fiction
Batman: Gotham Knight,Yasuhiro AokiAnimation Action Adventure
Batman: Gotham Knight,Hiroshi MoriokaAnimation Action Adventure
Batman: Gotham Knight,Jong-Sik NamAnimation Action Adventure
Batman: Gotham Knight,Toshiyuki KubookaAnimation Action Adventure
Batman: Gotham Knight,Futoshi HigashideAnimation Action Adventure
Batman: Gotham Knight,Shoujirou NishimiAnimation Action Adventure
Batman: Mask Of The Phantasm,Bruce TimmAction Adventure Animation Family
Batman: Mask Of The Phantasm,Eric RadomskiAction Adventure Animation Family
Batman: Mystery Of The Batwoman,Curt GedaAdventure Fantasy Animation Action Science Fiction Family
Batman: Mystery Of The Batwoman,Tim MaltbyAdventure Fantasy Animation Action Science Fiction Family
"Batman: The Dark Knight Returns, Part 1",Jay OlivaAction Animation
"Batman: The Dark Knight Returns, Part 2",Jay OlivaAction Animation
Batman: The Killing Joke,Sam LiuAction Animation Crime Drama
Batman: Under The Red Hood,Brandon ViettiAction Animation
Batman: Year One,Lauren MontgomeryAction Adventure Animation Crime Science Fiction
Batman: Year One,Sam LiuAction Adventure Animation Crime Science Fiction
Batteries Not Included,Matthew RobbinsComedy Family Fantasy Science Fiction
Battle For Sevastopol,Sergei MokritskyDrama Romance War
Battle For Skyark,Simon HungFamily Science Fiction Action Adventure
Battle For Terra,Aristomenis TsirbasAction Adventure Animation Science Fiction
Battle For The Planet Of The Apes,J. Lee ThompsonAction Science Fiction
Battle In Seattle,Stuart TownsendAction Drama
Battle Of Britain,Guy HamiltonAction Drama History War
Battle Of Los Angeles,Mark AtkinsScience Fiction Thriller
Battle Of The Bulge,Ken AnnakinDrama History War
Battle Of The Damned,Christopher HattonAction Science Fiction Adventure
Battle Of The Warriors,Jacob Cheung Chi-LeungHistory Drama Action
Battle Of The Year,Benson LeeMusic Drama
Battle Royale,Kinji FukasakuDrama Thriller Adventure
Battle Royale Ii: Requiem,Kenta FukasakuAction Thriller
Battle Royale Ii: Requiem,Kinji FukasakuAction Thriller
Battle: Los Angeles,Jonathan LiebesmanAction Science Fiction
Battlefield Earth,Roger ChristianAction Science Fiction War
Battleship,Peter BergThriller Action Adventure Science Fiction
Battleship Potemkin,Sergei M. EisensteinDrama History
Battlestar Galactica: Razor,Félix Enríquez AlcaláTV Movie Science Fiction Action Drama Thriller
Battlestar Galactica: The Plan,Edward James OlmosScience Fiction Action Adventure Drama
Baywatch,Seth GordonAction Comedy
Be Cool,F. Gary GrayComedy Crime
Be Kind Rewind,Michel GondryDrama Comedy
Beach Blanket Bingo,William AsherComedy
Beaches,Garry MarshallComedy Drama
Bean,Mel SmithComedy
Beastly,Daniel BarnzDrama Fantasy Romance
Beastmaster 2: Through The Portal Of Time,Sylvio TabetAction Adventure Fantasy Science Fiction
Beasts Of No Nation,Cary FukunagaDrama War
Beasts Of The Southern Wild,Benh ZeitlinDrama Fantasy
Beata Ignoranza,Massimiliano BrunoComedy
Beatdown,Mike GuntherAdventure Action Thriller
Beatriz At Dinner,Miguel ArtetaComedy Drama
Beau Pere,Bertrand BlierDrama Romance
Beautiful Creatures,Richard LaGraveneseFantasy Drama Romance
Beautiful Girls,Ted DemmeComedy Drama Romance
Beautiful Thing,Hettie MacDonaldComedy Drama Romance
Beauty & The Briefcase,Gil JungerRomance Comedy
Beauty And The Beast,Jean CocteauDrama Fantasy Romance
Beauty And The Beast,Gary TrousdaleRomance Family Animation Fantasy Music
Beauty And The Beast,Kirk WiseRomance Family Animation Fantasy Music
Beauty And The Beast,Christophe GansFantasy Romance
Beauty And The Beast,Bill CondonFamily Fantasy Romance
Beauty And The Beast: The Enchanted Christmas,Andrew KnightAnimation Family
Beauty Shop,Bille WoodruffComedy Romance
Beavis And Butt-Head Do America,Mike JudgeAnimation Comedy
Because I Said So,Michael LehmannComedy
Because Of Winn-Dixie,Wayne WangComedy Drama Family
Becoming Jane,Julian JarroldDrama Romance
Bed And Board,François TruffautComedy Drama Romance
Bed Of Roses,Michael GoldenbergDrama Romance
Bedazzled,Harold RamisFantasy Comedy Romance
Bedazzled,Stanley DonenFantasy Comedy Romance
Bedeviled,Abel VangHorror Thriller
Bedeviled,Burlee VangHorror Thriller
Bedevilled,Jang Cheol-SooThriller Crime Drama Horror
Bedknobs And Broomsticks,Robert StevensonAdventure Fantasy Animation Comedy Family Music
Bedtime Stories,Adam ShankmanFantasy Comedy Family Romance
Bee Movie,Steve HicknerFamily Animation Adventure Comedy
Bee Movie,Simon J. SmithFamily Animation Adventure Comedy
Beerfest,Jay ChandrasekharComedy
Beethoven,Brian LevantComedy Family
Beethoven'S 2Nd,Rod DanielFamily Comedy
Beethoven'S 3Rd,David M. EvansComedy
Beethoven'S 5Th,Mark GriffithsComedy Family
Beethoven'S Big Break,Mike ElliottComedy
Beethoven'S Christmas Adventure,John PutchComedy Family
Beetlejuice,Tim BurtonFantasy Comedy
Before I Fall,Ry Russo-YoungMystery Drama Thriller
Before I Go To Sleep,Rowan JoffeMystery Thriller
Before I Wake,Mike FlanaganDrama Fantasy Horror Thriller
Before Midnight,Richard LinklaterRomance Drama
Before Night Falls,Julian SchnabelDrama
Before Sunrise,Richard LinklaterDrama Romance
Before Sunset,Richard LinklaterDrama Romance
Before The Devil Knows You'Re Dead,Sidney LumetCrime Drama Thriller
Before The Fall,Dennis GanselDrama
Before The Flood,Fisher StevensDocumentary TV Movie
Before We Go,Chris EvansDrama Romance Comedy
Begin Again,John CarneyComedy Music Romance Drama
Beginners,Mike MillsDrama Romance Comedy
Behaving Badly,Tim GarrickComedy
Behind Blue Skies,Hannes HolmDrama
Behind Enemy Lines,John MooreAction Drama Thriller War
Behind Enemy Lines Ii: Axis Of Evil,James DodsonAction Adventure Thriller
Behind The Candelabra,Steven SoderberghDrama Romance
Behind The Mask: The Rise Of Leslie Vernon,Scott GlossermanComedy Horror Thriller
Being 17,André TéchinéDrama
Being Canadian,Robert CohenComedy Documentary
Being Elmo: A Puppeteer'S Journey,Constance MarksDocumentary Family
Being Flynn,Paul WeitzDrama
Being John Malkovich,Spike JonzeFantasy Drama Comedy
Being Julia,István SzabóComedy Drama Romance
Being There,Hal AshbyComedy Drama
Bel Ami,Nick OrmerodRomance Drama
Bel Ami,Declan DonnellanRomance Drama
Belgica,Felix Van GroeningenDrama
"Bell, Book And Candle",Richard QuineFantasy Comedy Romance
Belle,Amma AsanteDrama
Belle And Sebastian,Nicolas VanierAdventure
Belle De Jour,Luis BuñuelDrama Romance
Bellflower,Evan GlodellAction Drama Romance
Bells Are Ringing,Vincente MinnelliComedy Music Romance
Belly Of The Beast,Ching Siu-TungAction Thriller
Beloved Sisters,Dominik GrafRomance Drama History
Below,David TwohyThriller Horror Mystery
Ben X,Nic BalthazarDrama
Ben-Hur,William WylerAction Adventure Drama History
Ben-Hur,Timur BekmambetovAdventure Drama Action
Bend It Like Beckham,Gurinder ChadhaComedy Drama Romance
Bending The Rules,Artie MandelbergAction Drama
Beneath,Larry FessendenHorror Thriller
Beneath,Ben KetaiHorror
Beneath Hill 60,Jeremy SimsDrama History War
Beneath The Dark,Chad FeehanDrama Thriller
Beneath The Harvest Sky,Aron GaudetDrama
Beneath The Harvest Sky,Gita PullapillyDrama
Beneath The Planet Of The Apes,Ted PostAdventure Science Fiction Mystery
Beneath The Valley Of The Ultra-Vixens,Russ MeyerComedy
Benny & Joon,Jeremiah S. ChechikComedy Drama Romance
Benny'S Video,Michael HanekeHorror Crime Drama
Beowulf,Robert ZemeckisAdventure Action Animation
Beowulf,Graham BakerAction Science Fiction Thriller Adventure Horror Fantasy
Beowulf & Grendel,Sturla GunnarssonAction Adventure Drama Fantasy
Berberian Sound Studio,Peter StricklandHorror Drama Thriller
Bereavement,Stevan MenaCrime Horror Mystery
Berlin Calling,Hannes StöhrComedy Drama Music
Berlin Syndrome,Cate ShortlandMystery Thriller Drama Horror
Bernie,Richard LinklaterComedy Crime Drama
Berserk: The Golden Age Arc 1 - The Egg Of The King,Toshiyuki KubookaAction Adventure Animation Fantasy Horror
Berserk: The Golden Age Arc 2 - The Battle For Doldrey,Toshiyuki KubookaAnimation Action Fantasy
Berserk: The Golden Age Arc 3 - The Advent,Toshiyuki KubookaAnimation Action Fantasy
Besieged,Bernardo BertolucciDrama Romance
Best Friends,Norman JewisonComedy Romance
Best In Show,Christopher GuestComedy
Best Laid Plans,Mike BarkerDrama Thriller Crime
Best Man Down,Ted KolandComedy Drama
Best Men,Tamra DavisComedy Romance
Best Of The Best 2,Robert RadlerAction Thriller
Betsy'S Wedding,Alan AldaComedy
Better Living Through Chemistry,Geoff MooreDrama Comedy
Better Living Through Chemistry,David PosamentierDrama Comedy
Better Luck Tomorrow,Justin LinCrime Drama
Better Off Dead...,Savage Steve HollandComedy
Better Than Chocolate,Anne WheelerDrama Romance
Better Than Sex,Jonathan TeplitzkyRomance Drama Comedy
Betty Blue,Jean-Jacques BeineixDrama Romance
Between Two Worlds,Edward A. BlattDrama Fantasy
Beverly Hills Chihuahua,Raja GosnellAdventure Comedy Family
Beverly Hills Chihuahua 3 - Viva La Fiesta!,Lev L. SpiroComedy Family
Beverly Hills Cop,Martin BrestAction Comedy Crime
Beverly Hills Cop Ii,Tony ScottAction Comedy Crime
Beverly Hills Cop Iii,John LandisAction Comedy Crime
Beverly Hills Ninja,Dennis DuganAction Comedy
Bewitched,Nora EphronComedy Fantasy Romance
Beyond A Reasonable Doubt,Peter HyamsCrime Drama Mystery
Beyond Borders,Martin CampbellDrama Romance Adventure War
Beyond Re-Animator,Brian YuznaComedy Horror Science Fiction
Beyond Skyline,Liam O'DonnellAction Science Fiction
Beyond The Black Rainbow,Panos CosmatosFantasy Science Fiction Horror
Beyond The Clouds,Wim WendersDrama Romance
Beyond The Clouds,Michelangelo AntonioniDrama Romance
Beyond The Darkness,Joe D'AmatoHorror
Beyond The Gates,Jackson StewartAdventure Horror
Beyond The Hills,Cristian MungiuDrama Romance
Beyond The Law,Larry FergusonDrama Thriller
Beyond The Lights,Gina Prince-BythewoodRomance Drama
Beyond The Reach,Jean-Baptiste LéonettiThriller
Beyond The Sea,Kevin SpaceyDrama Music
Bhaag Milkha Bhaag,Rakeysh Omprakash MehraHistory Action Drama
"Bianca Come Il Latte, Rossa Come Il Sangue",Giacomo CampiottiDrama Comedy
"Bianco, Rosso E Verdone",Carlo VerdoneComedy
Bicentennial Man,Chris ColumbusComedy Science Fiction
Bicycle Thieves,Vittorio De SicaDrama
Bienvenue À Bord,Eric LavaineComedy
Big,Penny MarshallFantasy Drama Comedy Romance Family
Big Ass Spider!,Mike MendezScience Fiction
Big Bad Mama,Steve CarverAction Comedy Crime Drama
Big Bad Wolves,Navot PapushadoComedy Crime
Big Bad Wolves,Aharon KeshalesComedy Crime
Big Buck Bunny,Sacha GoedegebureAnimation Comedy
Big Business,Jim AbrahamsComedy
Big Daddy,Dennis DuganComedy Drama
Big Deal On Madonna Street,Mario MonicelliCrime Comedy
Big Driver,Mikael SalomonCrime Mystery Thriller
Big Eyes,Tim BurtonDrama
Big Fan,Robert D. SiegelComedy Drama
Big Fat Liar,Shawn LevyComedy Family
Big Fish,Tim BurtonAdventure Fantasy Drama
Big Game,Jalmari HelanderAction Adventure Thriller
Big Hero 6,Chris WilliamsAdventure Family Animation Action Comedy
Big Hero 6,Don HallAdventure Family Animation Action Comedy
Big Jake,George ShermanWestern
Big Miracle,Ken KwapisAdventure Drama Romance
Big Momma'S House,Raja GosnellCrime Comedy
Big Momma'S House 2,John WhitesellComedy Crime
"Big Mommas: Like Father, Like Son",John WhitesellCrime Comedy Action
Big Nothing,Jean-Baptiste AndreaAction Comedy Crime Thriller
Big Stan,Rob SchneiderComedy
Big Top Pee-Wee,Randal KleiserComedy Family
Big Trouble,Barry SonnenfeldAction Comedy Thriller
Big Trouble In Little China,John CarpenterAction Adventure Comedy Fantasy
Big Wednesday,John MiliusDrama
Bigger Stronger Faster*,Chris BellDocumentary
Bigger Than Life,Nicholas RayDrama
Biker Boyz,Reggie Rock BythewoodAction Drama
Bill & Ted'S Bogus Journey,Peter HewittAdventure Comedy Family Fantasy Science Fiction
Bill & Ted'S Excellent Adventure,Stephen HerekAdventure Comedy Science Fiction
Billy Bathgate,Robert BentonDrama Action Thriller Crime
Billy Elliot,Stephen DaldryDrama Comedy Music
Billy Lynn'S Long Halftime Walk,Ang LeeDrama War
Billy Madison,Tamra DavisComedy
Billy'S Hollywood Screen Kiss,Tommy O'HaverComedy Romance
Biloxi Blues,Mike NicholsComedy Drama Romance
Bio-Dome,Jason BloomComedy
Bionicle: Mask Of Light,David MolinaAction Adventure Animation Family Science Fiction
Bionicle: Mask Of Light,Terry ShakespeareAction Adventure Animation Family Science Fiction
Bird,Clint EastwoodDrama Music
Bird On A Wire,John BadhamAction Adventure Comedy Romance
Birdman,Alejandro González IñárrituDrama Comedy
Birdman Of Alcatraz,John FrankenheimerDrama
Birds Of America,Craig LucasComedy Drama
Birdy,Alan ParkerDrama History
Birth,Jonathan GlazerDrama Mystery Thriller
Birthday Girl,Jez ButterworthComedy Crime Thriller
Bitch Slap,Rick JacobsonDrama Action Comedy Thriller Crime
Bite The Bullet,Richard BrooksAction Western Adventure
Bitter Moon,Roman PolanskiThriller Drama Romance
Bitter Victory,Nicholas RayDrama War
Biutiful,Alejandro González IñárrituDrama
Black Angel,Roy William NeillCrime Drama Mystery Thriller
Black Beauty,Caroline ThompsonAction Adventure Drama Family
Black Belly Of The Tarantula,Paolo CavaraHorror Mystery Thriller
Black Book,Paul VerhoevenDrama Thriller War
Black Butterfly,Brian GoodmanThriller
"Black Cat, White Cat",Emir KusturicaComedy Romance
Black Christmas,Glen MorganHorror Thriller
Black Christmas,Bob ClarkHorror Mystery Thriller
"Black Coal, Thin Ice",Yi'nan DiaoCrime Drama Mystery Thriller
Black Dawn,Alexander GruszynskiAction
Black Death,Christopher SmithDrama Horror Action Thriller Mystery
Black Dog,Kevin HooksAction Adventure Thriller
Black Dynamite,Scott SandersAction Comedy
Black Eagle,Eric KarsonDrama Action
Black Hawk Down,Ridley ScottAction History War
Black Knight,Gil JungerAdventure Comedy Fantasy
Black Lightning,Dmitriy KiselevAction
Black Lightning,Aleksandr VoytinskiyAction
Black Mask,Daniel LeeAction
Black Mass,Scott CooperCrime Drama
Black Mirror: White Christmas,Carl TibbettsDrama Horror Mystery Science Fiction Thriller TV Movie
Black Moon,Louis MalleFantasy Science Fiction
Black Narcissus,Emeric PressburgerDrama
Black Narcissus,Michael PowellDrama
Black Nativity,Kasi LemmonsDrama Music
Black Or White,Mike BinderDrama
Black Rain,Ridley ScottAction Thriller Crime
Black Rain,Shôhei ImamuraDrama War
Black Rock,Katie AseltonThriller Horror
Black Sabbath,Mario BavaHorror
Black Sea,Kevin MacdonaldAdventure
Black Sheep,Jonathan KingHorror Comedy
Black Sheep,Penelope SpheerisComedy
Black Snake Moan,Craig BrewerDrama
Black Snow,Martín HodaraMystery Drama Crime Thriller
Black Sunday,Mario BavaHorror
Black Sunday,John FrankenheimerAction Drama Thriller
Black Swan,Darren AronofskyDrama Thriller
Black Venus,Abdellatif KechicheHistory Drama
Black Water,David NerlichAdventure Drama Horror
Black Water,Andrew TrauckiAdventure Drama Horror
Blackboard Jungle,Richard BrooksDrama
Blackfish,Gabriela CowperthwaiteDocumentary
Blackhat,Michael MannCrime Drama Mystery
Blackmail,Alfred HitchcockDrama Thriller Crime
Blackthorn,Mateo GilAdventure Action Western
Blackway,Daniel AlfredsonThriller
Blackwood,Adam WimpennyThriller
Blade,Stephen NorringtonHorror Action
Blade Ii,Guillermo del ToroFantasy Horror Action Thriller
Blade Runner,Ridley ScottScience Fiction Drama Thriller
Blade: Trinity,David S. GoyerScience Fiction Action Horror Thriller Adventure Fantasy
Blades Of Glory,Josh GordonAction Comedy Drama
Blades Of Glory,Will SpeckAction Comedy Drama
Blair Witch,Adam WingardThriller Horror
Blame It On Rio,Stanley DonenComedy Romance
Blame It On The Bellboy,Mark HermanComedy
Blancanieves,Pablo BergerDrama Fantasy
Blank Check,Rupert WainwrightComedy Family
Blast From The Past,Hugh WilsonComedy Romance
Blazing Saddles,Mel BrooksWestern Comedy
Bleed For This,Ben YoungerDrama
Blended,Frank CoraciComedy
Bless The Child,Chuck RussellDrama Horror Thriller Crime
Blind,Eskil VogtDrama
Blind Date,Blake EdwardsComedy Romance
Blind Date,Clovis CornillacComedy
Blind Dating,James KeachComedy
Blind Fury,Phillip NoyceAction Thriller
Blind Horizon,Michael HaussmanDrama Thriller
Blindness,Fernando MeirellesDrama Mystery Science Fiction Thriller
Blissfully Yours,Apichatpong WeerasethakulDrama Romance
Blitz,Elliott LesterCrime Action Thriller
Blood Alley,William A. WellmanAdventure Action Thriller
Blood And Black Lace,Mario BavaHorror Mystery Thriller
Blood And Bone,Ben RamseyDrama Action Thriller
Blood And Chocolate,Katja von GarnierDrama Fantasy Horror Romance
Blood And Sand,Rouben MamoulianAction Drama Romance
Blood And Wine,Bob RafelsonCrime Drama Thriller
Blood Creek,Joel SchumacherHorror Thriller
Blood Diamond,Edward ZwickDrama Thriller Action
Blood Father,Jean-François RichetAction Thriller
Blood From The Mummy'S Tomb,Seth HoltHorror
Blood Of Redemption,Giorgio SerafiniDrama Action Thriller Crime
Blood Of Redemption,Shawn SourgoseDrama Action Thriller Crime
Blood Rage,John GrissmerHorror
Blood Simple,Joel CoenCrime Drama Thriller
Blood Ties,Guillaume CanetThriller Crime Drama
Blood Work,Clint EastwoodCrime Drama Mystery Thriller
Blood: The Last Vampire,Chris NahonAction Adventure Horror Science Fiction Thriller
Bloodrayne,Uwe BollAction Adventure Fantasy Horror
Bloodrayne: Deliverance,Uwe BollAction Horror Western
Bloodrayne: The Third Reich,Uwe BollAction Adventure Fantasy Horror
Bloodsport,Newt ArnoldAction
Bloodsport: The Dark Kumite,Elvis RestainoAction Thriller
Bloody Mama,Roger CormanAction Drama Thriller
Bloody Sunday,Paul GreengrassAction Adventure Drama History
Blow,Ted DemmeCrime Drama
Blow Out,Brian De PalmaDrama Mystery Thriller
Blow-Up,Michelangelo AntonioniDrama Mystery Thriller
Blown Away,Stephen HopkinsDrama Action Thriller
Blue Caprice,Alexandre MoorsCrime Drama Mystery
Blue Chips,William FriedkinDrama
Blue Crush,John StockwellAdventure
Blue Hawaii,Norman TaurogComedy Music Romance
Blue Hill Avenue,Craig Ross Jr.Crime Drama
Blue In The Face,Paul AusterComedy
Blue In The Face,Wayne WangComedy
Blue Is The Warmest Color,Abdellatif KechicheRomance Drama
Blue Jasmine,Woody AllenComedy Drama
Blue Lagoon: The Awakening,Jake NewsomeDrama Adventure Romance
Blue Mountain State: The Rise Of Thadland,Lev L. SpiroComedy
Blue Ruin,Jeremy SaulnierCrime Thriller
Blue Sky,Tony RichardsonDrama Romance
Blue State,Marshall LewyComedy Drama Romance
Blue Steel,Kathryn BigelowThriller
Blue Streak,Les MayfieldAction Comedy Crime
Blue Thunder,John BadhamScience Fiction Action Thriller Crime Drama
Blue Valentine,Derek CianfranceDrama Romance
Blue Velvet,David LynchCrime Drama Mystery Thriller
Blueberry,Jan KounenWestern
Blues Brothers 2000,John LandisMusic Action Comedy Crime
Bmx Bandits,Brian Trenchard-SmithAdventure Crime Drama
Boat Trip,Mort NathanComedy
Bobby,Emilio EstevezHistory Drama
Bobby Deerfield,Sydney PollackDrama Romance
Bobby Jones: Stroke Of Genius,Rowdy HerringtonDrama
Boccaccio '70,Federico FelliniRomance Fantasy Comedy
Boccaccio '70,Vittorio De SicaRomance Fantasy Comedy
Boccaccio '70,Luchino ViscontiRomance Fantasy Comedy
Boccaccio '70,Mario MonicelliRomance Fantasy Comedy
Body,Robert OlsenDrama Thriller
Body,Dan BerkDrama Thriller
Body Double,Brian De PalmaCrime Mystery Horror Thriller
Body Heat,Lawrence KasdanDrama Thriller Crime Romance
Body Of Evidence,Uli EdelDrama Thriller Romance
Body Of Lies,Ridley ScottAction Drama Thriller
Body Shots,Michael CristoferDrama Romance
Body Snatchers,Abel FerraraHorror Science Fiction Thriller
Bodyguards And Assassins,Teddy ChanDrama Action History
Boiler Room,Ben YoungerCrime Drama Thriller
Bokeh,Geoffrey OrthweinDrama Science Fiction Thriller
Bokeh,Andrew SullivanDrama Science Fiction Thriller
Bolt,Chris WilliamsAnimation Family Adventure Comedy
Bolt,Byron HowardAnimation Family Adventure Comedy
Bon Cop Bad Cop,Erik CanuelAction Comedy Crime
Bon Cop Bad Cop 2,Alain DesrochersCrime Comedy Action
Bone Tomahawk,S. Craig ZahlerHorror Western Adventure Drama
Bones,Ernest R. DickersonAction Horror Thriller
Bonnie And Clyde,Arthur PennCrime Drama
Boo! A Madea Halloween,Tyler PerryComedy Horror
Boogeyman,Stephen T. KayThriller Horror Drama Mystery
Boogeyman 2,Jeff BetancourtHorror Thriller
Boogeyman 3,Gary JonesHorror
Boogie Nights,Paul Thomas AndersonDrama
Boogie Woogie,Duncan WardComedy Drama
Book Of Blood,John HarrisonHorror Drama Mystery Thriller
Book Of Shadows: Blair Witch 2,Joe BerlingerMystery Thriller Horror
Boomerang,Reginald HudlinComedy Romance
Boot Camp,Christian DuguayDrama Thriller
Boot Hill,Giuseppe ColizziComedy Western
Borat: Cultural Learnings Of America For Make Benefit Glorious Nation Of Kazakhstan,Larry CharlesComedy
Borderland,Zev BermanCrime Horror Thriller
Borderline,William A. SeiterCrime Drama Thriller
Bordertown,Gregory NavaCrime Drama Mystery
Borgman,Alex van WarmerdamThriller Drama
Born In China,Lu ChuanDocumentary
Born On The Fourth Of July,Oliver StoneDrama War
Born To Be Bad,Nicholas RayDrama
Born To Be Blue,Robert BudreauDrama Music
Born To Race,Alex RanariveloAction
Born To Raise Hell,Lauro ChartrandAction Thriller
Born Yesterday,George CukorComedy Romance Drama
Borrowed Time,Andrew CoatsAnimation Drama Western
Borrowed Time,Lou Hamou-LhadjAnimation Drama Western
Borsalino,Jacques DerayCrime Drama
Boruto: Naruto The Movie,Hiroyuki YamashitaAction Animation Fantasy
Botched,Kit RyanComedy Crime Horror Thriller
Bottle Rocket,Wes AndersonComedy Crime Drama
Boudu,Gérard JugnotComedy
Boulevard,Dito MontielDrama
Bounce,Don RoosDrama Romance
Bound,Lana WachowskiCrime Drama Romance Thriller
Bound,Lilly WachowskiCrime Drama Romance Thriller
Bound By Honor,Taylor HackfordAction Crime Drama Thriller
Bound To Vengeance,José Manuel CraviotoThriller Horror
Boundin',Bud LuckeyAnimation Family
Boundin',Roger GouldAnimation Family
Bounty Killer,Henry SaineAction Science Fiction
Bowfinger,Frank OzComedy
Bowling For Columbine,Michael MooreDocumentary
Box Of Moonlight,Tom DiCilloComedy Drama
Boxcar Bertha,Martin ScorseseCrime Drama Romance Thriller
Boxing Helena,Jennifer Chambers LynchDrama Romance
Boy & The World,Alê AbreuAnimation Adventure Family
Boy 7,Lourens BlokThriller Action Science Fiction
Boy A,John CrowleyCrime Drama
Boy Eats Girl,Stephen BradleyFantasy Comedy Horror
Boy Missing,Mar TargaronaMystery Thriller
Boy Wonder,Michael MorrisseyAction Crime Drama Thriller
Boychoir,François GirardDrama
Boyhood,Richard LinklaterDrama
Boyka: Undisputed Iv,Todor ChapkanovThriller Action Crime
Boys,Mischa KampDrama
Boys And Girls,Robert IscoveComedy Drama Romance
Boys Don'T Cry,Kimberly PeirceCrime Drama
Boyz N The Hood,John SingletonCrime Drama
Braddock: Missing In Action Iii,Aaron NorrisAction War
Brain Damage,Frank HenenlotterComedy Horror
Brain Dead,Adam SimonHorror Action Thriller Science Fiction
Brain Donors,Dennis DuganComedy
Brain On Fire,Gerard BarrettDrama
Braindead,Peter JacksonHorror Comedy
Brainscan,John FlynnFantasy Horror Science Fiction
Brainstorm,Douglas TrumbullScience Fiction Thriller
Brake,Gabe TorresAction Thriller
Branded,Jamie BradshawScience Fiction
Branded,Aleksandr DuleraynScience Fiction
Bratz,Sean McNamaraComedy
Brave,Brenda ChapmanAnimation Adventure Comedy Family Action Fantasy
Brave,Mark AndrewsAnimation Adventure Comedy Family Action Fantasy
Brave,Steve PurcellAnimation Adventure Comedy Family Action Fantasy
Braveheart,Mel GibsonAction Drama History War
Bravetown,Daniel DuranDrama Music
Bravo Two Zero,Tom CleggWar Action
Brazil,Terry GilliamComedy Science Fiction
Breach,Billy RayDrama Thriller Crime History
Break Point,Jay KarasComedy
Breakdown,Jonathan MostowDrama Action Thriller
Breaker Morant,Bruce BeresfordDrama History War
Breakfast At Tiffany'S,Blake EdwardsComedy Drama Romance
Breakfast On Pluto,Neil JordanDrama Comedy
Breakheart Pass,Tom GriesThriller Western Mystery
Breakin' 2: Electric Boogaloo,Sam FirstenbergDrama Music
Breakin' All The Rules,Daniel TaplitzComedy Romance
Breaking And Entering,Anthony MinghellaDrama Romance
Breaking Away,Peter YatesDrama Comedy
Breaking The Waves,Lars von TrierDrama Romance
Breakout,Damian LeeAction Thriller
Breast Men,Lawrence O'NeilTV Movie Drama Comedy
Breathe,Mélanie LaurentDrama
Breathe In,Drake DoremusDrama
Breathless,Jean-Luc GodardDrama Crime
Breathless,Jim McBrideAction Drama Romance Thriller
Breathless,Jesse BagetComedy Thriller
Brenda Starr,Robert Ellis MillerAdventure Fantasy
Brewster Mccloud,Robert AltmanFantasy Comedy
Brewster'S Millions,Walter HillComedy
Brice 3,James HuthComedy
Brick,Rian JohnsonDrama Mystery
Brick Mansions,Camille DelamarreAction Crime Drama
Bride & Prejudice,Gurinder ChadhaDrama Comedy Music Romance
Bride Of Chucky,Ronny YuHorror Comedy
Bride Of Frankenstein,James WhaleHorror Science Fiction
Bride Of Re-Animator,Brian YuznaComedy Horror Science Fiction
Bride Wars,Gary WinickComedy
Brideshead Revisited,Julian JarroldDrama Romance
Bridesmaids,Paul FeigComedy Romance
Bridge Of Spies,Steven SpielbergThriller Drama
Bridge To Terabithia,Gábor CsupóAdventure Drama Family
Bridget Jones'S Baby,Sharon MaguireComedy
Bridget Jones'S Diary,Sharon MaguireComedy Romance Drama
Bridget Jones: The Edge Of Reason,Beeban KidronComedy Romance
Brief Encounter,David LeanDrama Romance
Brigadoon,Vincente MinnelliMusic Romance Fantasy
Bright Star,Jane CampionDrama Romance
Brimstone,Martin KoolhovenMystery Thriller Western
Bring It On,Peyton ReedComedy
Bring Me The Head Of Alfredo Garcia,Sam PeckinpahAction Crime Drama Thriller Western
Bringing Down The House,Adam ShankmanComedy
Bringing Out The Dead,Martin ScorseseDrama
Bringing Up Baby,Howard HawksComedy Romance
Broadcast News,James L. BrooksComedy Drama Romance
Broadway Danny Rose,Woody AllenComedy
Brokeback Mountain,Ang LeeDrama Romance
Brokedown Palace,Jonathan KaplanDrama Thriller
Broken,Rufus NorrisDrama
Broken Arrow,John WooAction Adventure Drama Thriller
Broken Arrow,Delmer DavesWestern
Broken City,Allen HughesThriller Crime Drama
Broken Embraces,Pedro AlmodóvarDrama Romance Thriller
Broken Flowers,Jim JarmuschComedy Drama Mystery Romance
Broken Horses,Vidhu Vinod ChopraThriller Mystery Drama Crime
Bronco Billy,Clint EastwoodAction Comedy Drama Romance Western
Bronson,Nicolas Winding RefnDrama Action Crime
Brooklyn,John CrowleyDrama Romance
Brooklyn'S Finest,Antoine FuquaCrime Drama Thriller
Brother,Takeshi KitanoCrime Drama Thriller
